Continue to the partially-completed dock.	部分的に完成したドックに進みます。
"I may have buried the lede somewhat. They're not in the same place - Ivar and Ayr should be at Ivar's party hall on Tar'eyl. Ivar is so open that without us keeping tabs on him, I fear for his safety. Ayr is at least quite cautious, so hopefully he is safe. Still, we're not getting any responses from our homeworld, so please make haste!"	「私は鉛をある程度埋めたかもしれません。彼らは同じ場所にいません。IvarとAyrはTar'eylのIvar's Party Hallにいるはずです。Ivarは私たちが彼を監視せずに彼の安全を恐れています。エアは少なくとも非常に慎重ですので、うまくいけば彼は安全です。それでも、私たちは私たちの故郷から何の反応も得ていないので、急いでください！」
An older, formerly ballistic-based launcher that has been repurposed into a strange, shotgun-like delivery system for poker chips. While wildly inaccurate, provides a good source of constant suppression - sometimes at a cost.	ポーカーチップ用の奇妙なショットガンのような配信システムに再利用されていた、以前の弾道ベースのランチャー。非常に不正確ですが、絶え間ない抑制の良いソースを提供します - 時には犠牲を払って。
You march out of the city office and into the streets, chanting alongside the Vampweeds. They're fairly confused as to who you are or why you're there, but they see you have weapons and are eager to let you in on the chaos. You get sucked into the moment, completely losing focus on what you're doing or why you're there. By the time you snap back to reality, the Zoltan is dead, your cargo is full of stolen scrap, and a rioter seems to have pledged themselves to your crew.	市のオフィスから路上に行進し、ヴァンプウィードと一緒に唱えます。彼らはあなたが誰であるか、なぜあなたがそこにいるのかについてかなり混乱していますが、彼らはあなたが武器を持っているのを見て、あなたを混乱にさせたいと思っています。あなたはその瞬間に吸い込まれ、自分がしていることやそこにいる理由に完全に集中します。あなたが現実に戻る頃には、ゾルタンは死んでおり、あなたの貨物は盗まれたスクラップでいっぱいであり、暴徒はあなたの乗組員に自分自身を誓ったようです。
You hear a staticky scream through the comm. The Union captain clutches the crumbling hull of their ship as it explodes, throwing them and their crew out into the vacuum of space.	あなたはコムを通してstatな叫び声を聞きます。ユニオンキャプテンは、船が爆発すると船の崩壊しつつある船体を握りしめ、彼らと乗組員を宇宙の真空に捨てます。
Die, monster!	死ね、モンスター！
You receive a transmission from the ship, though it's entirely static. It's briefly followed by a message in plain text: "You got what you came for. Now leave us!" It appears this ship is merely inhabited by Vagabonds.	完全に静的ですが、船からトランスミッションを受け取ります。それは簡単に、「あなたはあなたが来たものを手に入れた。今私たちを去ってください！」この船には、単に迷走abondsが住んでいるようです。
With the ship destroyed, you return to the Union station to collect your reward from its very grateful commander.	船が破壊されたとき、あなたはユニオンステーションに戻り、非常に感謝している司令官から報酬を集めます。
A Ministry embassy is under siege by Tiiikaka raiders.	ミニストリー大使館は、ティイカカ・レイダーズによって包囲されています。
As soon as you deactivate the rings, a foreboding blackness consumes the space around you.⏎⏎"Wow, you actually did it! Good job Renegade, I knew you were just the right person to call for this. Hahe! Oh Prime, did you really think you could just keep me locked away forever? You gambled with eternity, and eternity won! It always wins. And eternity is on my side."⏎/⏎:)⏎⏎You feel yourself pulled from your feet and are dragged back to your ship by an invisible force, while from the darkness spring several large, black tentacles that wrap themselves around Prime's ship, squeezing the metal and twisting the ship into a contorted wreck of metal, and then finally tearing it asunder. Prime gets no more final words - his time is up.	リングを無効にするとすぐに、予感する黒さがあなたの周りのスペースを消費します。あなたは本当に私を永遠に閉じ込めておくことができると思いますか？あなたは永遠にギャンブルをし、永遠が勝ちました！それは常に勝ちます。そして、永遠は私の側にあります。目に見えない力であなたの船に戻って、暗闇からは、プライムの船に包まれ、金属を絞り、船をゆがんだ金属の難破船にひねり、最終的にそれを引き裂くいくつかの大きな黒い触手がいくつかの大きな黒い触手です。プライムはこれ以上最終的な言葉を得ません - 彼の時間は終わりました。
This is the time remaining for your "trial by fire" as administered by the Monks.	これは、僧ksが管理する「火による裁判」の残りの時間です。
"Your name means nothing anymore, 'Captain'. You'll pay us, or you'll die!"	「あなたの名前はもう何も意味しません、「キャプテン」。あなたは私たちにお金を払うか、あなたは死ぬでしょう！」
Better not to risk getting too close to an MFK.	MFKに近づきすぎるリスクがない方が良い。
Combined Imperial Notoriety [3] - GUARDS WILL ATTACK ON SIGHT	組み合わせた帝国の悪名[3]  - 警備員が視界を攻撃する
"I'm getting there, relax! After he left the company... okay well, I kind of forced him out. But that'ssss not the point! Thingssss went downhill. I couldn't keep my invessstorsss paid. One by one, they left. Sssoon, only sssome grease ssstain named Tony Senior and that bassstard Vael wasss left. That handsssome ssson of a bitch... er, I mean, that sssson of a bitch."	「私はそこに着いた、リラックス！彼が会社を去った後...大丈夫、私は彼を追い出した。しかし、それはポイントではない！ものは下り坂になった。1つは、彼らが去った。SSSOON、Sssome Grease Ssstainという名前のトニーシニアと名付けられ、そのバストスタードヴァエルは残った。
(Zoltan Crew) Let the Lanius sketch your Zoltan.	（Zoltan Crew）Laniusにあなたのゾルタンをスケッチさせます。
(Equinoid Crew) Let the Lanius sketch your Equinoid.	（equinoid Crew）ラニウスにあなたのequinoidをスケッチさせます。
"Brother? What? Renfield doesn't have any siblings! Ugh, it's like no one takes anything seriously anymore." The ship hangs up.	「兄弟？何？レンフィールドには兄弟がいない！うーん、誰ももう真剣に受け止めていないようなものだ」船はぶら下がっています。
You could use some peace and quiet - this is a Rebel sector after all.	あなたはいくらかの平和と静かなものを使用することができます - これは結局反逆者セクターです。
Turn your attention to the rest of the battle.	残りの戦いに注意を向けてください。
You land the vessel right in the middle of the conflict, careful not to squish anyone. Your crew exit and talk over the situation with the protesters. They manage to convince them not to resort to violence, and the crowds slowly dwindle away. The Federation staff seem pleased you were able to resolve the situation peacefully, and provide you a reward for your assistance.	あなたは紛争の真ん中に容器を着陸させ、誰にもつぶれないように注意します。あなたの乗組員は出口を出て、抗議者との状況について話します。彼らはなんとか暴力に頼らないように彼らを説得することができ、群衆はゆっくりと減少します。連盟のスタッフは、あなたが状況を平和的に解決でき、あなたの支援に対する報酬を提供できることを喜んでいるようです。
Noticing a nearby inhabited planet, you pull closer to inspect the city and instead find chaos has taken over the streets. A Zoltan peacekeeper vessel lays in the middle of the streets while crowds of rioting Vampweeds are rocking its hull back and forth and trying to tear off its armor to get inside. Shouts can be heard - "We are tired of the Federation getting involved in our lives! You are not welcome here, energy freak!", and "Your days are numbered, Federation! Ivar's tainted line will trouble us no more!"	近くに住んでいる惑星に気づくと、あなたは都市を検査するために近づき、代わりに路上を越えたカオスが見つかります。ゾルタンの平和維持軍の船は通りの真ん中に横たわり、暴動のヴァンプウィードの群衆が船体を前後に揺らし、中に入るために鎧を引き裂こうとしています。「私たちは連邦が私たちの生活に関与することにうんざりしています！あなたはここで歓迎されていません、エネルギーフリーク！」、「あなたの日は番号が付けられています！」
Over your radio blares a brief section from the Geniocracy anthem, followed by a distressed pre-recorded message. "Thhhis is Professor Alkali, lead research and spearhead of the Geniocracy science district and genetic enhancement project. If you are hearing thhhis, I advise leaving as soon as possible. My team and I are currently locked in Lab Omega. We made a terrible mistake... our latest creations, thhhe Morphhhs, thhhey've gone loose. Worse yet, thhhe Rebellion has arrived from unspecified regions. Thhhis sector is not safe. I repeat, thhhis sector is not sa-" The message is cut off as a distant shadow approaches, revealing itself to be a ship!	あなたのラジオの上には、Geniocracyアンセムの短いセクションがあり、その後に苦しんでいる事前に録音されたメッセージが続きます。「Thhhisは、Geniocracy Science District and Genetic Enhancement Projectのリード研究と先頭に立っているアルカリ教授です。...私たちの最新の作品、thhhe morphhhs、thhheyはゆるんでいました。さらに悪いことに、反乱は不特定の地域から到着しました。遠い影が近づき、船であることを明らかにします！
A Rebel Engineer fleet has taken a bold moment of direct action and engaged the Federation fleet nearby! Though likely only out of necessity, an Engineer vessel breaks off to handle you.	反乱軍のエンジニア艦隊は、大胆な直接的な行動の瞬間を奪い、近くの連邦艦隊に従事しました！おそらく必要ではありませんが、エンジニアの船はあなたを扱うために壊れます。
"Good. Very good. I figured you might be, sssince you did that bassstard Ssslocknog in." You wait a few moments, expecting more commentary, but Nights has nothing else to add. "Once, long ago, I could have talked your ear off on every reasssson why we can't fall victim to the pitfallssss of conssservatisssm. But I'm jussst.. I'm defeated. I'm no longer the posssterchild of the reform movement. It'ssss been made very clear they don't want me. So I won't continue to taint my ideologiessss with my presssence. I jussst wanted to know what you think. Now, I'm gonna go get drunk. Don't call me if you need me."	「良い。とても良い。私はあなたがそうかもしれないと思った、あなたはそのバススタード・ssslocknogをやったからだ。」あなたは少しの解説を期待して、少し待っていますが、夜には他に追加するものはありません。「一度、私は昔、私たちがconsservatisssmの落とし穴の犠牲になることができない理由すべてのすべてのリリーズソンであなたの耳を話すことができたでしょう。しかし、私はjussstです。私は敗北しています。私はもう改革運動。それは彼らが私を望んでいないことを非常に明確にしています。だから私は私のプレスセンスで私のイデオロギーを汚染し続けることはありません。私はあなたの考えを知りたいと思っていました。あなたが私を必要としているなら私に電話しないでください。」
The vessel continues to screech, but it defends itself. However, for some reason, it doesn't detach, therefore having no maneuverability.	船は金切り声を上げ続けますが、それ自体を守ります。ただし、何らかの理由で、それは分離せず、したがって操縦性はありません。
Attack the broker.	ブローカーを攻撃します。
ROCK LOOT⏎+50% fire and breach chance⏎-2 second cooldown, 5 second stun	RockLoot⏎+50％の火と違反チャンス⏎-2秒クールダウン、5秒のスタン
SUPER SHIELD\nRECHARGING	スーパーシールド\nRecharging
"Now, erm, it seems there's little point in keeping past pretenses so let me begin again. I needn't waste your time with much historical mumble, but in short the Empire has been so tolerant of the SSLG's more radical motions as the Empress sees great benefit in gaining access to Theocracy grounds. We seek access to the Waystone, the device originally used to seal our homeworlds away from the galaxy. At first, we hoped the Lost Suns might retrieve it for us in return for more dedicated support. But now it seems those plans have faltered. Now, I must go at it alone. It will be perilous, but I wonder if you might be up for the task?"	「さて、えーと、過去のふりをすることにはほとんど意味がないようですので、もう一度始めましょう。私はあなたの時間を歴史的なつぶやきで無駄にする必要はありませんが、要するに、帝国は皇后ほどSSLGのより根本的な動きに非常に寛容でした神権政治の根拠にアクセスすることには大きな利益があります。ウェイストーンへのアクセスを求めています。ウェイストーンは、もともとホームワールドを銀河から密閉するために使用されていました。最初は、失われたサンズがより献身的なサポートと引き換えにそれを取り戻すことを望みました。しかし今、それはそれらの計画が揺れ動いているようです。今、私はそれを一人で行かなければなりません。それは危険ですが、あなたは仕事のために起きているのだろうか？」
"Well, even though cruiser would nowadays be the de-facto term to refer to a ship such as yours... my fascination in history just can't stomach the fact that naval terms have been dumbed down over the years. A cruiser required much more manpower than that to properly operate! Do you fancy an alternative or more accurate name for your type of ship?"	「まあ、クルーザーは現在、あなたのような船を指すための事実上の用語であるでしょう...歴史の私の魅力は、海軍の条件が長年にわたって馬鹿げているという事実を我慢できません。適切に操作するためにそれよりもはるかに多くの人材！あなたはあなたのタイプの船の代替またはより正確な名前を空想しますか？」
"Pakook malahoo kooj kooj!" OOJ vibrates and wiggles, and moments later spits out a yellow blob onto the floor. For having just been eaten, Wealsey looks surprising okay, and flutters to the top of Tyrdeo's head and tweets. "Oh sweet grace be this day. I thought I had lost him forever! Thank you captain. Why- why do we let this thing roam the hallways? It's dangerous!" OOJ jiggles again, as if insulted. "Parra para tik spikle mika pallajoo! Piss."	「Pakook Malahoo Kooj Kooj！」oojは振動して揺れ、その後、床に黄色の塊を吐き出します。ちょうど食べたことがあるため、Wealseyは驚くほど大丈夫に見え、Tyrdeoの頭とつぶやきの頂上にぶつかります。「今日は甘い恵み。私は彼を永遠に失ったと思った！キャプテンに感謝します。なぜ - なぜこのことが廊下を歩き回るのか？それは危険だ！」Oojは、まるでs辱されたかのように再び揺れます。「Parra Para Tik Spikle Mika Pallajoo！Piss。」
A Union commander waves you over. "I made a mistake, siding with the Rebels in the Civil War. Anyone with a sensory organ can see now the Rebels almost tore this galaxy apart! I know it's not much, but if I can help you in any way it'll make me feel even a little bit better about my past."	組合司令官があなたを振り回します。「私は南北戦争で反乱軍と一緒にいます。感覚臓器を持っている人なら誰でも、反乱軍がこの銀河を引き裂いているのを見ることができます！私は私の過去について少し気分が良くなりました。」
...Heh. Sure, you can't go wrong, I'll give you that - but it gets old and tiring pretty fast. I'll... go find someone else and gather their idea on the matter.	...ええ。確かに、あなたは間違っていることはありません、私はあなたにそれを与えます - それは古くなり、かなり速く疲れます。私は...他の誰かを見つけに行き、その問題について彼らのアイデアを集めます。
"Possible threat detected. Risk evaluation suggests immediate termination." Your radars show a hostile ship approaching fast!	「検出される可能性のある脅威。リスク評価は、即時終了を示唆しています。」あなたのレーダーは、速く近づいている敵対的な船を示しています！
"Assistance from a Free Mantis... not expected." There is a tense pause. "But not unwelcome. Tikinakariiika our longtime foe... Very cruel, very nasty! Pafinakinaaalara owing debt... will follow!" The clan offers to let you scrap some of the debris from the ships you enabled them to destroy, on top of offering to join you.	「無料のマンティスからの支援...予想外。」緊張した一時停止があります。「しかし、歓迎されません。ティキナカリイカ私たちの長年の敵...非常に残酷で、非常に厄介です！パフィナキナアララは借金が続きます...続きます！」一族は、あなたが参加するために提供することに加えて、あなたがそれらを破壊することを可能にした船から破片のいくつかを廃棄できるようにしています。
Contact the Vampweeds.	VampWeedsに連絡してください。
Shop for Beams.	梁を買います。
(Alkram) Infiltrate and destroy the center.	（アルカラム）中心に浸透して破壊します。
(Adv. Navigation) Suggest allowing the ship to escape and track its movements.	（Adv。Navigation）船がその動きを逃れて追跡できるようにすることを提案します。
Hear him out.	彼を聞いてください。
Vampweed ballistics	ヴァンプウィード弾道
The interior of the pod is decorated by all kinds of oddities. A messy bed with dark purple sheets conceals an array of stuffed animals with obvious wear from years of friendship. Much of the decorations seem strangely childish, with a few outliers that seem to have been added after the fact. Anurak looks around with a mixture of wonder, eventually eyeing a necklace with a symbol of the great eye, engraved with his name. "Sylvan kept this? Why, it's been years! I didn't think our friendship meant that much to him!"	ポッドの内部は、あらゆる種類の奇妙さで飾られています。濃い紫色のシートが付いた乱雑なベッドは、長年の友情から明らかな服を着たぬいぐるみの動物の配列を隠します。装飾の多くは奇妙に幼稚に見え、事実の後に追加されたように見えるいくつかの外れ値があります。アヌラックは不思議の混合物で周りを見回し、最終的に彼の名前で刻まれた偉大な目の象徴でネックレスに注目します。「シルバンはこれを保持していたのですか？なぜ、何年も経った！私たちの友情が彼にとってそれほど意味があるとは思わなかった！」
You play several matches of rock paper scissors, in which Obyn loses every single one. "No fair! I challenge you to a rematch! The great Obyn will not lose to a Renegade!"	ロックペーパーはさみのいくつかのマッチをプレイします。オビンはすべてのマッチを失います。「公正なことはありません！私はあなたに再戦に挑戦します！偉大なオビンは反逆者に負けません！」
"I GOT DRUNK AND WANDERED INTO AN AIRVENT ON ACCIDENT OKAY? I USSSSE THEM TO AVOID HAVING TO TALK TO PEOPLE WHEN I'M MOVING BETWEEN ROOMS BUT I'M USUALLY SSSOBER ENOUGH TO AVOID THISSSS!" You tell Nights to 'hang on' while you go and get a ladder and some other crew to help out.	「私は酔って、事故でエアベントにさまよいましたか？あなたが行って、はしごや他の乗組員を手に入れるために「ハングアップ」を「ハングアップ」するように夜に言います。
(Upg. Engines) Reverse thrusters!	（Upg。Engines）逆スラスタ！
Upgrade your Hydra Launcher.	Hydraランチャーをアップグレードします。
"Ahhh. A fellow businessman. We offer to fix 10 damage for 40 ssscrap."	「ああ。仲間のビジネスマン。40SSSCRAPの10ダメージを修正することを申し出ます。」
[CURRENT MODE: Boarding] A toggle drone specialized for whichever task it is operating, but never both at the same time.⏎⏎-125 HP, immune to fire, reveals adjacent rooms, 1.5x movement speed⏎-Shipboard mode: cannot fight, repairs at 2.5x speed and mans with max skills⏎-Boarding mode: 3x combat damage, 1.5x bonus ranged damage	[現在のモード：搭乗]動作中のどちらのタスクに特化したトグルドローンは同時に両方とも決してありません。、2.5倍の速度と最大スキルボードモードの男の修理：3倍の戦闘ダメージ、1.5xボーナス範囲のダメージ
The smugglers don't even inquire further as you thought they would. Instead, they prime their weapons! "We've had enough of you robotic vermins probing around our operations! Prepare to be swatted!"	密輸業者は、あなたが思っていたようにさらに尋ねさえしません。代わりに、彼らは武器をプライミングします！「私たちはあなたの操作を調査しているロボットバーミンを十分に持っていました！スワットする準備をしてください！」
Fail the challenge while uncovering the secrets of an ancient race.	古代の人種の秘密を明らかにしながら、挑戦に失敗します。
Their resolve seems to be wavering. You might be able to demand the prisoners' safe return.	彼らの決意は揺れ動いているようです。囚人の安全な帰還を要求できるかもしれません。
Enter her room.	彼女の部屋に入ります。
(Siren Crew) Let the Lanius sketch your Siren.	（サイレンクルー）ラニウスにサイレンをスケッチさせます。
Obelisk Dreadnaught [Ancient Wastelands]	Obelisk Dreadnaught [古代の荒れ地]
No more life signs detected on the Coalition station. You scrap the hull before hurrying inside to find the ambassador, if they're even alive.	連合ステーションでこれ以上のライフサインは検出されませんでした。彼らが生きているなら、あなたは船体を急いで中にぶつけて大使を見つけることさえします。
I just think of you as dumb exploding jerks.	私はあなたを愚かな爆発的なジャークと考えています。
Python	Python
